order_id,order_date,customer_id,product_id,payment_method,payment_status,quantity,unit_price,discount,net_sales
ORD000032,2026-01-01,C0085,P035,Bank Transfer,PAID,1,25900.0,0.0,25900.0
ORD000033,2026-01-13,C0164,P032,PromptPay,FAILED,1,23310.0,0.05,22144.5
ORD000034,2026-01-24,C0044,P005,PromptPay,PAID,1,313.95,0.0,313.95
ORD000035,2026-01-16,C0045,P033,PromptPay,PAID,3,12900.0,0.0,38700.0
ORD000036,2026-01-21,C0043,P005,Credit Card,PAID,1,299.0,0.0,299.0
ORD000037,2026-01-20,C0108,P017,PromptPay,PAID,4,990.0,0.0,3960.0
ORD000038,2026-01-18,C0008,P009,PromptPay,PAID,1,284.05,0.05,269.8475
ORD000039,2026-01-28,C0126,P004,PromptPay,PAID,2,1415.5,0.0,2831.0
ORD000040,2026-01-15,C0086,P021,PromptPay,PAID,1,23310.0,0.0,23310.0
ORD000041,2026-11-01,C0008,P034,Credit Card,PAID,2,284.05,0.0,568.1
ORD000042,2026-01-21,C0114,P032,Credit Card,PAID,1,25900.0,0.0,25900.0
ORD000043,2026-03-01,C0006,P018,Bank Transfer,PAID,1,3790.5,0.05,3600.975
ORD000044,2026-01-24,C0126,P022,Credit Card,PAID,2,499.0,0.05,948.1
ORD000045,2026-01-16,C0068,P019,Bank Transfer,PAID,3,3990.0,0.0,11970.0
ORD000046,2026-01-21,C0097,P026,Bank Transfer,PAID,2,12900.0,0.1,23220.0
ORD000047,2026-01-01,C0100,P038,PromptPay,PAID,4,11610.0,0.0,46440.0
ORD000048,2026-01-13,C0040,P038,PromptPay,PAID,2,12900.0,0.0,25800.0
ORD000049,2026-01-18,C0059,P019,PromptPay,PAID,1,3990.0,0.05,3790.5
ORD000050,2026-09-01,C0067,P006,Bank Transfer,PAID,1,313.95,0.0,313.95
ORD000051,2026-01-24,C0035,P039,Credit Card,PAID,4,990.0,0.0,3960.0
ORD000052,2026-01-18,C0079,P035,Credit Card,PAID,1,23310.0,0.0,23310.0
ORD000053,2026-01-16,C0113,P019,Credit Card,PAID,4,3990.0,0.05,15162.0
ORD000054,2026-01-01,C0046,P035,Bank Transfer,PAID,1,25900.0,0.1,23310.0
ORD000055,2026-07-01,C0132,P027,Credit Card,PAID,2,23310.0,0.0,46620.0
ORD000056,2026-07-01,C0083,P017,Bank Transfer,PAID,1,990.0,0.0,990.0
ORD000057,2026-01-20,C0054,P039,Bank Transfer,PAID,2,990.0,0.0,1980.0
ORD000058,2026-01-16,C0096,P038,PromptPay,PAID,2,13545.0,0.05,25735.5
ORD000059,2026-01-22,C0038,P005,Bank Transfer,PAID,1,284.05,0.0,284.05
ORD000060,2026-01-15,C0057,P005,Credit Card,PAID,1,299.0,0.1,269.1
ORD000061,2026-08-01,C0102,P023,Bank Transfer,PAID,2,313.95,0.1,565.11
ORD000062,2026-09-01,C0036,P020,PromptPay,PAID,3,499.0,0.0,1497.0
ORD000063,2026-08-01,C0034,P025,Credit Card,PAID,3,27195.0,0.0,81585.0
ORD000064,2026-07-01,C0152,P014,Credit Card,PAID,1,1039.5,0.1,935.55
ORD000065,2026-01-20,C0160,P031,Bank Transfer,PAID,3,1490.0,0.0,4470.0
ORD000066,2026-01-25,C0162,P039,Bank Transfer,PAID,2,990.0,0.0,1980.0
ORD000067,2026-11-01,C0125,P035,Credit Card,PAID,1,25900.0,0.0,25900.0
ORD000068,2026-01-15,C0052,P039,PromptPay,PAID,1,940.5,0.05,893.475
ORD000069,2026-09-01,C0081,P039,Credit Card,PAID,1,1039.5,0.0,1039.5
ORD000070,2026-01-28,C0069,P014,Bank Transfer,PAID,4,1039.5,0.0,4158.0
ORD000071,2026-01-01,C0021,P008,Credit Card,PAID,1,523.95,0.0,523.95
ORD000072,2026-01-24,C0028,P032,Credit Card,PAID,4,23310.0,0.05,88578.0
ORD000073,2026-01-13,C0009,P022,Credit Card,PAID,1,474.05,0.0,474.05
ORD000074,2026-01-17,C0110,P031,Credit Card,PAID,4,1490.0,0.0,5960.0
ORD000075,2026-01-22,C0039,P007,Credit Card,PAID,2,24605.0,0.05,46749.5
ORD000076,2026-08-01,C0163,P033,Credit Card,PAID,1,11610.0,0.1,10449.0
ORD000077,2026-08-01,C0143,P026,PromptPay,PAID,2,12255.0,0.0,24510.0
ORD000078,2026-01-22,C0070,P017,Bank Transfer,PAID,1,1039.5,0.05,987.525
ORD000079,2026-05-01,C0005,P037,Bank Transfer,PAID,1,25900.0,0.1,23310.0
ORD000080,2026-01-28,C0008,P019,Bank Transfer,PAID,3,4189.5,0.05,11940.075
ORD000081,2026-11-01,C0061,P018,Credit Card,PAID,4,3591.0,0.0,14364.0
ORD000082,2026-01-21,C0147,P020,PromptPay,PAID,2,474.05,0.1,853.29
ORD000083,2026-01-17,C0070,P021,PromptPay,PAID,1,25900.0,0.0,25900.0
ORD000084,2026-01-27,C0132,P026,PromptPay,PAID,1,11610.0,0.0,11610.0
ORD000085,2026-01-20,C0145,P003,Credit Card,PAID,2,24605.0,0.0,49210.0
ORD000086,2026-01-22,C0038,P015,Bank Transfer,PAID,4,269.1,0.0,1076.4
ORD000087,2026-01-25,C0068,P001,Credit Card,PAID,3,299.0,0.0,897.0
ORD000088,2026-01-28,C0118,P024,PromptPay,PAID,2,284.05,0.1,511.29
ORD000089,2026-01-26,C0070,P026,PromptPay,PAID,1,12900.0,0.0,12900.0
ORD000090,2026-01-19,C0083,P038,Bank Transfer,PAID,1,12900.0,0.0,12900.0
ORD000091,2026-01-18,C0156,P037,PromptPay,PAID,1,25900.0,0.05,24605.0
ORD000092,2026-01-16,C0086,P006,Credit Card,PAID,1,313.95,0.0,313.95
ORD000093,2026-01-17,C0160,P013,PromptPay,FAILED,2,523.95,0.05,995.5050000000001
ORD000094,2026-05-01,C0014,P012,Bank Transfer,PAID,1,1039.5,0.1,935.55
ORD000095,2026-01-01,C0062,P020,Credit Card,PAID,2,499.0,0.0,998.0
ORD000096,2026-01-26,C0090,P024,Credit Card,PAID,2,284.05,0.0,568.1
ORD000097,2026-01-16,C0008,P009,PromptPay,PAID,4,299.0,0.0,1196.0
ORD000098,2026-01-14,C0099,P016,Credit Card,PAID,2,1490.0,0.1,2682.0
ORD000099,2026-01-24,C0136,P039,PromptPay,PAID,3,1039.5,0.0,3118.5
ORD000100,2026-05-01,C0014,P038,Bank Transfer,PAID,2,13545.0,0.0,27090.0
ORD000101,2026-01-20,C0093,P034,Bank Transfer,FAILED,1,284.05,0.0,284.05
ORD000101,2026-01-20,C0093,P034,Bank Transfer,FAILED,1,284.05,0.0,284.05
ORD000102,2026-05-01,C0078,P002,Bank Transfer,PAID,4,1341.0,0.05,5095.8
ORD000103,2026-11-01,C0079,P014,Credit Card,PAID,1,940.5,0.1,846.45
ORD000104,2026-01-13,C0157,P036,Credit Card,PAID,2,299.0,0.1,538.2
ORD000105,2026-07-01,C0099,P002,Credit Card,PAID,2,1341.0,0.1,2413.8
ORD000106,2026-07-01,C0157,P008,PromptPay,REFUNDED,4,474.05,0.1,1706.58
ORD000107,2026-01-23,C0065,P023,Credit Card,PAID,2,299.0,0.0,598.0
ORD000108,2026-01-17,C0138,P029,Credit Card,PAID,4,3990.0,0.0,15960.0
ORD000109,2026-01-19,C0140,P033,Credit Card,PAID,1,13545.0,0.0,13545.0
ORD000110,2026-01-27,C0066,P002,PromptPay,PAID,3,1341.0,0.0,4023.0
ORD000111,2026-04-01,C0146,P008,Credit Card,PAID,3,449.1,0.0,1347.3000000000002
ORD000112,2026-01-18,C0097,P034,Bank Transfer,FAILED,2,313.95,0.05,596.505
ORD000113,2026-03-01,C0024,P027,Bank Transfer,PAID,3,24605.0,0.0,73815.0
ORD000114,2026-01-01,C0050,P014,PromptPay,PAID,3,1039.5,0.0,3118.5
ORD000115,2026-01-21,C0085,P009,Bank Transfer,PAID,4,313.95,0.0,1255.8
ORD000116,2026-01-24,C0073,P002,Bank Transfer,PAID,4,1341.0,0.0,5364.0
ORD000117,2026-09-01,C0012,P016,Bank Transfer,PAID,1,1415.5,0.0,1415.5
ORD000118,2026-01-21,C0075,P025,Bank Transfer,PAID,1,23310.0,0.05,22144.5
ORD000119,2026-01-25,C0007,P022,Bank Transfer,PAID,1,449.1,0.0,449.1
ORD000120,2026-01-15,C0092,P020,PromptPay,PAID,4,499.0,0.0,1996.0
ORD000121,2026-05-01,C0052,P006,Credit Card,REFUNDED,1,313.95,0.0,313.95
ORD000122,2026-08-01,C0051,P010,PromptPay,PAID,3,891.0,0.1,2405.7
ORD000123,2026-08-01,C0035,P024,Bank Transfer,PAID,1,313.95,0.0,313.95
ORD000124,2026-01-15,C0012,P007,PromptPay,PAID,1,27195.0,0.05,25835.25
ORD000125,2026-01-24,C0155,P003,PromptPay,PAID,1,25900.0,0.0,25900.0
ORD000126,2026-03-01,C0056,P022,Credit Card,PAID,1,523.95,0.05,497.75250000000005
ORD000127,2026-01-27,C0060,P040,Bank Transfer,PAID,3,3790.5,0.05,10802.925
ORD000128,2026-01-13,C0138,P012,Credit Card,PAID,3,940.5,0.0,2821.5
ORD000129,2026-01-24,C0098,P031,PromptPay,PAID,1,1490.0,0.0,1490.0
ORD000130,2026-07-01,C0067,P006,Credit Card,FAILED,2,299.0,0.05,568.1
ORD000131,2026-03-01,C0101,P010,Bank Transfer,PAID,2,891.0,0.05,1692.9
ORD000132,2026-01-28,C0146,P022,Credit Card,PAID,1,523.95,0.1,471.55500000000006
ORD000133,2026-11-01,C0078,P008,Credit Card,PAID,3,449.1,0.0,1347.3000000000002
ORD000134,2026-08-01,C0007,P018,Bank Transfer,PAID,2,3591.0,0.05,6822.9
ORD000135,2026-01-15,C0076,P027,Credit Card,PAID,2,25900.0,0.05,49210.0
ORD000136,2026-01-18,C0052,P003,PromptPay,PAID,2,25900.0,0.0,51800.0
ORD000137,2026-07-01,C0003,P039,PromptPay,PAID,2,990.0,0.05,1881.0
ORD000138,2026-08-01,C0145,P030,Credit Card,PAID,1,474.05,0.1,426.645
ORD000139,2026-05-01,C0075,P016,Credit Card,PAID,1,1490.0,0.0,1490.0
ORD000140,2026-04-01,C0132,P023,Credit Card,PAID,1,269.1,0.05,255.645
ORD000141,2026-01-14,C0069,P011,Credit Card,PAID,2,23310.0,0.0,46620.0
ORD000142,2026-08-01,C0127,P010,Bank Transfer,FAILED,2,891.0,0.0,1782.0
ORD000143,2026-01-18,C0133,P007,Credit Card,PAID,1,25900.0,0.05,24605.0
ORD000144,2026-01-24,C0165,P036,Credit Card,PAID,2,284.05,0.0,568.1
ORD000145,2026-11-01,C0142,P009,Credit Card,PAID,1,313.95,0.1,282.555
ORD000146,2026-01-13,C0096,P023,Bank Transfer,PAID,1,299.0,0.0,299.0
ORD000147,2026-01-24,C0114,P001,Bank Transfer,PAID,1,299.0,0.0,299.0
ORD000148,2026-01-16,C0121,P040,Credit Card,FAILED,1,3591.0,0.05,3411.45
ORD000149,2026-04-01,C0033,P028,Bank Transfer,PAID,1,299.0,0.05,284.05
ORD000150,2026-11-01,C0067,P033,Bank Transfer,PAID,2,12900.0,0.0,25800.0
ORD000151,2026-06-01,C0004,P036,Credit Card,PAID,1,269.1,0.0,269.1
ORD000152,2026-01-20,C0026,P040,Bank Transfer,PAID,2,3990.0,0.0,7980.0
ORD000153,2026-08-01,C0120,P011,Credit Card,PAID,1,25900.0,0.0,25900.0
ORD000154,2026-04-01,C0047,P009,PromptPay,PAID,4,299.0,0.0,1196.0
ORD000155,2026-01-19,C0130,P014,PromptPay,PAID,4,990.0,0.0,3960.0
ORD000156,2026-07-01,C0014,P001,PromptPay,PAID,2,269.1,0.0,538.2
ORD000157,2026-01-13,C0054,P024,Credit Card,PAID,1,299.0,0.0,299.0
ORD000158,2026-01-14,C0073,P027,Bank Transfer,PAID,1,23310.0,0.05,22144.5
ORD000159,2026-08-01,C0141,P006,Credit Card,PAID,1,284.05,0.05,269.8475
ORD000160,2026-01-15,C0059,P014,Credit Card,PAID,2,990.0,0.0,1980.0
ORD000161,2026-11-01,C0092,P012,Bank Transfer,PAID,1,891.0,0.05,846.45
ORD000162,2026-01-24,C0130,P002,Credit Card,PAID,2,1415.5,0.05,2689.45
ORD000163,2026-01-24,C0093,P037,PromptPay,PAID,1,24605.0,0.1,22144.5
ORD000164,2026-06-01,C0112,P033,Credit Card,PAID,3,11610.0,0.0,34830.0
ORD000165,2026-01-26,C0002,P024,PromptPay,PAID,1,299.0,0.0,299.0
ORD000166,2026-05-01,C0001,P027,Bank Transfer,PAID,3,27195.0,0.0,81585.0
ORD000167,2026-04-01,C0151,P006,Credit Card,FAILED,1,284.05,0.1,255.645
ORD000168,2026-10-01,C0004,P019,Credit Card,PAID,3,3990.0,0.0,11970.0
ORD000169,2026-01-23,C0073,P018,Bank Transfer,PAID,1,3591.0,0.1,3231.9
ORD000170,2026-01-18,C0004,P020,Bank Transfer,PAID,1,499.0,0.0,499.0
ORD000171,2026-01-26,C0160,P010,Credit Card,PAID,2,891.0,0.0,1782.0
ORD000172,2026-01-20,C0028,P034,PromptPay,PAID,1,299.0,0.1,269.1
ORD000173,2026-03-01,C0137,P007,Credit Card,PAID,3,27195.0,0.0,81585.0
ORD000174,2026-01-28,C0075,P018,Credit Card,PAID,4,3990.0,0.05,15162.0
ORD000175,2026-01-26,C0088,P004,Credit Card,PAID,3,1564.5,0.0,4693.5
ORD000176,2026-01-21,C0120,P025,Credit Card,PAID,2,27195.0,0.0,54390.0
ORD000177,2026-04-01,C0015,P027,Credit Card,PAID,2,23310.0,0.05,44289.0
ORD000178,2026-01-26,C0127,P028,Bank Transfer,PAID,4,299.0,0.0,1196.0
ORD000179,2026-01-22,C0147,P012,Credit Card,FAILED,4,940.5,0.05,3573.9
ORD000180,2026-06-01,C0026,P021,Bank Transfer,PAID,1,23310.0,0.0,23310.0
ORD000181,2026-01-17,C0078,P007,PromptPay,PAID,1,25900.0,0.0,25900.0
ORD000182,2026-01-19,C0135,P025,Credit Card,PAID,1,23310.0,0.0,23310.0
ORD000183,2026-11-01,C0044,P038,PromptPay,PAID,3,11610.0,0.0,34830.0
ORD000184,2026-01-17,C0154,P019,PromptPay,PAID,4,3790.5,0.0,15162.0
ORD000185,2026-08-01,C0140,P028,Credit Card,PAID,4,269.1,0.1,968.7600000000001
ORD000186,2026-11-01,C0077,P003,Bank Transfer,FAILED,1,27195.0,0.0,27195.0
ORD000187,2026-01-22,C0092,P039,Credit Card,PAID,2,990.0,0.0,1980.0
ORD000188,2026-01-22,C0047,P031,Credit Card,PAID,4,1490.0,0.05,5662.0
ORD000189,2026-09-01,C0165,P008,PromptPay,PAID,2,523.95,0.1,943.1100000000001
ORD000190,2026-01-28,C0129,P025,PromptPay,PAID,4,27195.0,0.0,108780.0
ORD000191,2026-01-17,C0011,P023,PromptPay,PAID,1,299.0,0.0,299.0
ORD000192,2026-01-13,C0101,P039,Bank Transfer,PAID,1,1039.5,0.0,1039.5
ORD000193,2026-01-18,C0052,P005,Credit Card,PAID,2,299.0,0.1,538.2
ORD000194,2026-01-22,C0113,P001,Bank Transfer,PAID,1,299.0,0.1,269.1
ORD000195,2026-11-01,C0094,P014,Bank Transfer,PAID,2,990.0,0.0,1980.0
ORD000196,2026-01-20,C0132,P007,PromptPay,PAID,1,25900.0,0.1,23310.0
ORD000197,2026-06-01,C0099,P002,Credit Card,PAID,1,1415.5,0.05,1344.725
ORD000198,2026-01-22,C0040,P012,Bank Transfer,PAID,4,990.0,0.1,3564.0
ORD000199,2026-01-21,C0161,P010,PromptPay,PAID,2,891.0,0.0,1782.0
ORD000200,2026-01-01,C0097,P004,PromptPay,PAID,2,1341.0,0.0,2682.0
ORD000201,2026-01-22,C0059,P022,PromptPay,PAID,4,449.1,0.0,1796.4
ORD000202,2026-04-01,C0019,P027,PromptPay,PAID,2,23310.0,0.05,44289.0
ORD000203,2026-12-01,C0083,P025,Credit Card,PAID,1,25900.0,0.0,25900.0
ORD000204,2026-06-01,C0131,P036,Credit Card,PAID,2,313.95,0.0,627.9
ORD000205,2026-01-17,C0160,P030,Credit Card,FAILED,4,499.0,0.05,1896.2
ORD000206,2026-06-01,C0008,P023,PromptPay,PAID,4,269.1,0.0,1076.4
ORD000207,2026-11-01,C0052,P001,PromptPay,PAID,1,313.95,0.0,313.95
ORD000208,2026-01-25,C0024,P037,PromptPay,PAID,4,23310.0,0.1,83916.0
ORD000209,2026-01-14,C0067,P006,PromptPay,PAID,1,284.05,0.0,284.05
ORD000210,2026-01-26,C0013,P009,Credit Card,PAID,1,299.0,0.0,299.0
ORD000211,2026-01-24,C0066,P022,Credit Card,PAID,2,499.0,0.05,948.1
ORD000212,2026-10-01,C0071,P001,Credit Card,PAID,2,284.05,0.1,511.29
ORD000213,2026-01-17,C0025,P021,PromptPay,PAID,1,25900.0,0.0,25900.0
ORD000214,2026-09-01,C0014,P019,Credit Card,PAID,2,3990.0,0.0,7980.0
ORD000215,2026-01-21,C0040,P036,PromptPay,PAID,2,299.0,0.05,568.1
ORD000216,2026-01-28,C0024,P033,Credit Card,PAID,1,12255.0,0.0,12255.0
ORD000217,2026-01-16,C0081,P028,PromptPay,REFUNDED,1,284.05,0.05,269.8475
ORD000218,2026-01-01,C0072,P020,Bank Transfer,PAID,3,474.05,0.1,1279.9350000000002
ORD000219,2026-10-01,C0081,P021,Bank Transfer,PAID,1,27195.0,0.0,27195.0
ORD000220,2026-12-01,C0135,P037,Credit Card,PAID,1,24605.0,0.0,24605.0
ORD000221,2026-01-25,C0157,P008,Credit Card,PAID,4,523.95,0.05,1991.0100000000002
ORD000222,2026-01-23,C0109,P027,Credit Card,PAID,1,24605.0,0.1,22144.5
ORD000223,2026-01-17,C0051,P014,PromptPay,PAID,2,940.5,0.0,1881.0
ORD000224,2026-01-14,C0012,P031,PromptPay,PAID,1,1490.0,0.0,1490.0
ORD000225,2026-01-16,C0135,P025,PromptPay,PAID,1,23310.0,0.05,22144.5
ORD000226,2026-08-01,C0064,P003,Credit Card,PAID,3,23310.0,0.0,69930.0
ORD000227,2026-02-01,C0007,P016,Bank Transfer,PAID,1,1490.0,0.0,1490.0
ORD000228,2026-01-17,C0053,P028,Credit Card,PAID,3,299.0,0.0,897.0
ORD000229,2026-08-01,C0008,P017,Bank Transfer,PAID,2,940.5,0.0,1881.0
ORD000230,2026-01-19,C0160,P015,PromptPay,PAID,4,299.0,0.1,1076.4
ORD000231,2026-11-01,C0033,P038,Credit Card,PAID,1,12900.0,0.0,12900.0
ORD000232,2026-08-01,C0004,P008,PromptPay,PAID,1,499.0,0.05,474.05
ORD000233,2026-01-18,C0085,P007,PromptPay,PAID,2,25900.0,0.0,51800.0
ORD000234,2026-06-01,C0025,P026,Bank Transfer,PAID,2,12900.0,0.0,25800.0
ORD000235,2026-12-01,C0087,P030,PromptPay,PAID,3,499.0,0.0,1497.0
ORD000236,2026-01-19,C0068,P027,Bank Transfer,PAID,1,23310.0,0.05,22144.5
ORD000237,2026-01-17,C0020,P030,Bank Transfer,PAID,3,523.95,0.1,1414.6650000000002
ORD000238,2026-10-01,C0140,P034,Bank Transfer,PAID,2,313.95,0.0,627.9
ORD000239,2026-01-27,C0044,P004,Credit Card,PAID,2,1490.0,0.0,2980.0
ORD000240,2026-01-01,C0091,P018,PromptPay,PAID,1,3990.0,0.0,3990.0
ORD000241,2026-01-24,C0003,P026,Credit Card,PAID,3,12255.0,0.0,36765.0
ORD000242,2026-08-01,C0106,P016,Credit Card,PAID,2,1490.0,0.0,2980.0
ORD000243,2026-01-19,C0129,P013,Bank Transfer,PAID,3,499.0,0.1,1347.3
ORD000244,2026-01-16,C0153,P029,PromptPay,PAID,2,3990.0,0.05,7581.0
ORD000245,2026-11-01,C0058,P031,Credit Card,PAID,1,1415.5,0.1,1273.95
ORD000246,2026-12-01,C0107,P028,Bank Transfer,PAID,1,269.1,0.05,255.645
ORD000247,2026-01-20,C0025,P029,PromptPay,PAID,2,4189.5,0.05,7960.05
ORD000248,2026-01-14,C0144,P009,PromptPay,PAID,1,284.05,0.0,284.05
ORD000249,2026-04-01,C0121,P008,Credit Card,PAID,3,499.0,0.0,1497.0
ORD000250,2026-01-20,C0160,P039,Credit Card,PAID,3,891.0,0.05,2539.35
ORD000251,2026-10-01,C0014,P010,Bank Transfer,PAID,3,891.0,0.1,2405.7
ORD000252,2026-12-01,C0068,P020,Credit Card,PAID,1,449.1,0.1,404.19
ORD000253,2026-05-01,C0139,P029,Bank Transfer,PAID,4,3990.0,0.1,14364.0
ORD000254,2026-02-01,C0030,P012,Bank Transfer,PAID,2,990.0,0.0,1980.0
ORD000255,2026-01-26,C0090,P010,PromptPay,PAID,2,940.5,0.0,1881.0
ORD000256,2026-07-01,C0056,P024,PromptPay,FAILED,4,299.0,0.0,1196.0
ORD000257,2026-01-15,C0016,P014,Credit Card,PAID,1,990.0,0.05,940.5
ORD000258,2026-02-01,C0050,P002,PromptPay,PAID,4,1490.0,0.0,5960.0
ORD000259,2026-01-18,C0102,P039,PromptPay,PAID,3,1039.5,0.1,2806.65
ORD000260,2026-06-01,C0151,P029,Bank Transfer,PAID,4,4189.5,0.1,15082.2
ORD000261,2026-01-19,C0037,P032,Credit Card,PAID,1,25900.0,0.0,25900.0
ORD000262,2026-01-24,C0049,P013,PromptPay,FAILED,2,499.0,0.0,998.0
ORD000263,2026-01-21,C0019,P019,Bank Transfer,PAID,2,3990.0,0.1,7182.0
ORD000264,2026-01-15,C0110,P018,Bank Transfer,PAID,2,3990.0,0.1,7182.0
ORD000265,2026-01-25,C0116,P031,PromptPay,PAID,2,1490.0,0.05,2831.0
ORD000266,2026-01-23,C0010,P037,Credit Card,REFUNDED,2,24605.0,0.1,44289.0
ORD000267,2026-04-01,C0164,P023,Bank Transfer,PAID,4,284.05,0.0,1136.2
ORD000268,2026-01-13,C0045,P018,Credit Card,PAID,3,3591.0,0.0,10773.0
ORD000269,2026-01-16,C0115,P012,Bank Transfer,PAID,4,1039.5,0.0,4158.0
ORD000270,2026-12-01,C0087,P030,Bank Transfer,PAID,3,449.1,0.05,1279.9350000000002
ORD000271,2026-07-01,C0091,P035,Credit Card,PAID,2,23310.0,0.0,46620.0
ORD000272,2026-01-19,C0159,P038,Credit Card,PAID,1,13545.0,0.0,13545.0
ORD000273,2026-12-01,C0008,P005,Credit Card,PAID,1,269.1,0.0,269.1
ORD000274,2026-10-01,C0157,P028,PromptPay,PAID,2,299.0,0.0,598.0
ORD000275,2026-01-28,C0031,P032,Bank Transfer,PAID,1,23310.0,0.0,23310.0
ORD000276,2026-01-17,C0163,P013,Bank Transfer,PAID,1,523.95,0.1,471.55500000000006
ORD000277,2026-08-01,C0007,P009,Bank Transfer,PAID,3,299.0,0.0,897.0
ORD000278,2026-09-01,C0002,P015,Credit Card,PAID,2,313.95,0.0,627.9
ORD000279,2026-01-21,C0004,P040,PromptPay,PAID,2,3990.0,0.0,7980.0
ORD000280,2026-01-27,C0101,P004,Credit Card,PAID,2,1490.0,0.05,2831.0
ORD000281,2026-04-01,C0099,P011,Bank Transfer,PAID,1,23310.0,0.0,23310.0
ORD000282,2026-01-18,C0137,P026,PromptPay,PAID,1,12900.0,0.0,12900.0
ORD000283,2026-05-01,C0078,P010,PromptPay,PAID,2,1039.5,0.0,2079.0
ORD000284,2026-07-01,C0115,P035,PromptPay,PAID,3,25900.0,0.0,77700.0
ORD000285,2026-02-01,C0094,P025,Bank Transfer,FAILED,2,27195.0,0.05,51670.5
ORD000286,2026-01-25,C0106,P027,PromptPay,PAID,2,25900.0,0.05,49210.0
ORD000287,2026-01-17,C0074,P026,Bank Transfer,PAID,1,12255.0,0.0,12255.0
ORD000288,2026-07-01,C0005,P029,PromptPay,PAID,3,3990.0,0.0,11970.0
ORD000289,2026-01-15,C0083,P029,Bank Transfer,PAID,3,3790.5,0.0,11371.5
ORD000290,2026-12-01,C0038,P034,Credit Card,PAID,4,299.0,0.0,1196.0
ORD000291,2026-01-27,C0158,P036,PromptPay,PAID,3,299.0,0.1,807.3
ORD000292,2026-01-24,C0130,P013,Bank Transfer,PAID,1,474.05,0.05,450.3475
ORD000293,2026-12-01,C0048,P037,PromptPay,PAID,3,24605.0,0.0,73815.0
ORD000294,2026-08-01,C0109,P007,Credit Card,FAILED,1,27195.0,0.05,25835.25
ORD000295,2026-04-01,C0054,P036,PromptPay,PAID,2,313.95,0.1,565.11
ORD000296,2026-01-16,C0104,P036,Bank Transfer,PAID,1,284.05,0.0,284.05
ORD000297,2026-01-15,C0123,P019,PromptPay,PAID,2,3990.0,0.05,7581.0
ORD000298,2026-01-27,C0122,P039,Credit Card,PAID,2,891.0,0.1,1603.8
ORD000299,2026-02-01,C0009,P021,Bank Transfer,PAID,3,24605.0,0.1,66433.5
ORD000300,2026-01-20,C0138,P009,PromptPay,PAID,2,269.1,0.1,484.38000000000005
ORD000301,2026-12-01,C0013,P040,Bank Transfer,PAID,4,3990.0,0.0,15960.0
